카테고리,PI코드,상품명,product_no,URL,구성메모
브라,2037심브,쉬어 브라 커브넥 텐션윙,1140,https://marun5.com/product/쉬어-브라-커브넥-텐션윙/1140/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,2037심팬,쉬어 팬티 릴렉스,1142,https://marun5.com/product/쉬어-팬티-릴렉스/1142/category/105/display/1/,
브라,2611삼각브,쉬어 브라렛 미니멀 트라이앵글,1926,https://marun5.com/product/쉬어-브라렛-미니멀-트라이앵글/1926/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,2611스트링팬,쉬어 팬티 미니멀 비키니,1927,https://marun5.com/product/쉬어-팬티-미니멀-비키니/1927/category/105/display/1/,
브라,2612포인브,쉬어 브라 허그핏 코튼 삼각,1928,https://marun5.com/product/쉬어-브라-허그핏-코튼-삼각/1928/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,2612포인팬,쉬어 팬티 허그핏 코튼 삼각,1929,https://marun5.com/product/쉬어-팬티-허그핏-코튼-삼각/1929/category/105/display/1/,
브라,2617레크브,쉬어 브라렛 스칼렛 시스루 레이스,1734,https://marun5.com/product/쉬어-브라렛-스칼렛-시스루-레이스/1734/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,2617레팬,쉬어 팬티 스칼렛 시스루 레이스,1735,https://marun5.com/product/쉬어-팬티-스칼렛-시스루-레이스/1735/category/105/display/1/,
브라,F4글램,쉬어 브라 글램 커버업,852,https://marun5.com/product/쉬어-브라-글램-커버업/852/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,F4심팬,쉬어 팬티 심리스 커버업,1888,https://marun5.com/product/쉬어-팬티-심리스-커버업/1888/category/105/display/1/,
브라,M32브,쉬어 브라 소프트폼 3cm 볼륨업,1689,https://marun5.com/product/쉬어-브라-소프트폼-3cm-볼륨업/1689/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,M32심팬,쉬어 팬티 하이컷 심리스,1690,https://marun5.com/product/쉬어-팬티-하이컷-심리스/1690/category/105/display/1/,
브라,U1오숄브,쉬어 브라 오프숄더 논슬립,848,https://marun5.com/product/쉬어-브라-오프숄더-논슬립/848/category/105/display/1/,단품
브라,쉬어브이넥브,쉬어 브라 시그니처,1386,https://marun5.com/product/쉬어-브라-시그니처/1386/category/105/display/1/,브라 단품 코드에 팬티 추가구매 기능 구현
팬티,쉬어햄팬,쉬어 햄라인 팬티 시그니처,1384,https://marun5.com/product/쉬어-햄라인-팬티-시그니처/1384/category/105/display/1/,
캡나시,RA모달캡나,캡내장 모달 브라캡 나시탑,63,https://marun5.com/product/캡내장-모달-브라캡-나시탑/63/category/105/display/1/,단품
캡나시,RA크롭모달캡나,캡내장 브리즈 모달 크롭 끈나시,2147,https://marun5.com/product/캡내장-브리즈-모달-크롭-끈나시/2147/category/105/display/1/,단품
캡나시,"SLN07가는캡나, 베이직",날마다 모달 코튼 캡내장 얇은 끈 나시 2종,620,https://marun5.com/product/날마다-모달-코튼-캡내장-얇은-끈-나시-2종/620/category/105/display/1/,2종 합본
캡나시,SLN08백리캡나,날마다 모달 코튼 캡내장 크롭 백리스 나시,621,https://marun5.com/product/날마다-모달-코튼-캡내장-크롭-백리스-나시/621/category/105/display/1/,단품
캡나시,SLN09조절캡나,날마다 모달 코튼 캡내장 크롭 끈 조절 나시,629,https://marun5.com/product/날마다-모달-코튼-캡내장-크롭-끈-조절-나시/629/category/105/display/1/,단품
캡나시,SLN14레이어캡나,날마다 브라탑 헨리넥 레이어드 캡나시,1684,https://marun5.com/product/날마다-브라탑-헨리넥-레이어드-캡나시/1684/category/105/display/1/,단품
스타킹,B768넉넉면스,넉넉 니트 모달면 스타킹,714,https://marun5.com/product/넉넉-니트-모달면-스타킹/714/category/105/display/1/,단품
스타킹,넉넉10D,넉넉 올풀림방지 힙업 스타킹 10D,858,https://marun5.com/product/넉넉-올풀림방지-힙업-스타킹-10d/858/category/105/display/1/,단품
스타킹,넉넉150D,빅사이즈 고탄력 팬티 스타킹 넉넉스타킹 150D,109,https://marun5.com/product/빅사이즈-고탄력-팬티-스타킹-넉넉스타킹-150d/109/category/105/display/1/,단품
스타킹,넉넉20D,넉넉 빅사이즈 팬티스타킹 20D,103,https://marun5.com/product/넉넉-빅사이즈-팬티스타킹-20d/103/category/105/display/1/,단품
스타킹,넉넉50D,자외선 차단 빅사이즈 넉넉스타킹 50D 골프스타킹,139,https://marun5.com/product/1억-펀딩-자외선-차단-빅사이즈-넉넉스타킹-50d-골프스타킹/139/category/105/display/1/,단품
스타킹,삭40D,승무원 압박스타킹 삭스타킹 40D,107,https://marun5.com/product/승무원-압박스타킹-삭스타킹-40d/107/category/105/display/1/,단품
스타킹,1091골지니_롱,넉넉 소프트 웜 골지 니삭스 2종,717,https://marun5.com/product/넉넉-소프트-웜-골지-니삭스-2종/717/category/105/display/1/,2종 합본
스타킹,시스루_숏,넉넉 시스루 립 앵클 삭스 & 니삭스 2종,1257,https://marun5.com/product/넉넉-시스루-립-앵클-삭스-니삭스-2종/1257/category/105/display/1/,2종 합본
스타킹,넉넉레그워머,넉넉 2WAY 리브드 니트 레그워머,713,https://marun5.com/product/넉넉-2way-리브드-니트-레그워머/713/category/105/display/1/,단품
스타킹,넉넉워머삭스,넉넉 루즈 레그워머 삭스,1422,https://marun5.com/product/넉넉-루즈-레그워머-삭스/1422/category/105/display/1/,단품
누드브라,DFR01실리콘SLIM,두프리 실리콘 누드브라 - 슬림,449,https://marun5.com/product/두프리-실리콘-누드브라-슬림/449/category/105/display/1/,단품
누드브라,FRF072글루,"브라 쉬는 날, 프리플 니플패치 2종",454,https://marun5.com/product/브라-쉬는-날-프리플-니플패치-2종/454/category/105/display/1/,2종 합본
누드브라,FRF074인비저블,프리플 딥커버 니플 패치,812,https://marun5.com/product/프리플-딥커버-니플-패치/812/category/105/display/1/,단품
누드브라,FRF075하프컵,프리플 하프컵 니플 패치,813,https://marun5.com/product/프리플-하프컵-니플-패치/813/category/105/display/1/,단품
FW,HT124홀터넥캡나,히트터치 홀터넥 기모 브라탑,1444,https://marun5.com/product/히트터치-홀터넥-기모-브라탑/1444/category/105/display/1/,단품
FW,HT150모크넥캡나,히트터치 모크넥 목폴라 브라탑,1445,https://marun5.com/product/히트터치-모크넥-목폴라-브라탑/1445/category/105/display/1/,단품
FW,HT89스퀘어넥캡나,히트터치 스퀘어넥 기모 브라탑,1460,https://marun5.com/product/히트터치-스퀘어넥-기모-브라탑/1460/category/105/display/1/,단품
FW,HT모크넥,히트터치 모크넥 반폴라 티셔츠,207,https://marun5.com/product/히트터치-모크넥-반폴라-티셔츠/207/category/105/display/1/,단품
FW,HT오리지널세트★,히트터치 오리지널 - 남녀 상하세트,14,https://marun5.com/product/히트터치-오리지널-남녀-상하세트/14/category/105/display/1/,단품
FW,HT크롭상의,히트터치 슬림핏 상의 베이직 & 크롭 2종,722,https://marun5.com/product/히트터치-슬림핏-상의-베이직-크롭-2종/722/category/105/display/1/,2종 합본
