카테고리,PI코드,product_no,product_code,product_name,KRW,JPY_환산,축,축구성,태그수,sold_out,image,url
브라,2037심브,1140,P0000BRW,쉬어 브라 커브넥 텐션윙,27900,3196,3,수량구성(1+) × 컬러(1+) × 사이즈(5+),17,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202608/144cd4b1f47d6c103d8a07fe96eec1c5.jpg,https://marun5.com/product/detail.html?product_no=1140
팬티,2037심팬,1142,P0000BRY,쉬어 팬티 릴렉스,12900,1478,3,수량구성(1+) × 컬러(2+) × 사이즈(3+),14,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202608/1a45a24d6cae2cd4bd44e64d0a1451db.jpg,https://marun5.com/product/detail.html?product_no=1142
브라,2611삼각브,1926,P0000CWC,쉬어 브라렛 미니멀 트라이앵글,21900,2509,3,수량구성(1+) × 컬러(2+) × 사이즈(3+),8,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202604/c4e6e099c6267d53880cc4cf4edbe912.jpg,https://marun5.com/product/detail.html?product_no=1926
팬티,2611스트링팬,1927,P0000CWD,쉬어 팬티 미니멀 비키니,7900,905,3,수량구성(1+) × 컬러(5+) × 사이즈(1+),9,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202604/aa666797de0ac47c5661aabf4ad4633f.jpg,https://marun5.com/product/detail.html?product_no=1927
브라,2612포인브,1928,P0000CWE,쉬어 브라 허그핏 코튼 삼각,27900,3196,3,수량구성(1+) × 컬러(2+) × 사이즈(4+),8,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202604/c21099a1eaad2264dcd5c11f1ba592bf.jpg,https://marun5.com/product/detail.html?product_no=1928
팬티,2612포인팬,1929,P0000CWF,쉬어 팬티 허그핏 코튼 삼각,7900,905,3,수량구성(1+) × 컬러(3+) × 사이즈(2+),9,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202604/5f6c2baacc45a5225f596781c468e727.jpg,https://marun5.com/product/detail.html?product_no=1929
브라,2617레크브,1734,P0000COS,쉬어 브라렛 스칼렛 시스루 레이스,32900,3769,3,수량구성(1+) × 컬러(2+) × 사이즈(4+),11,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202602/de85da8ae45bc830eeb2764610c77ca6.jpg,https://marun5.com/product/detail.html?product_no=1734
팬티,2617레팬,1735,P0000COT,쉬어 팬티 스칼렛 시스루 레이스,13900,1592,3,수량구성(1+) × 컬러(2+) × 사이즈(4+),16,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202602/e72b860c72ecb8694509ca98ffdf3dc0.jpg,https://marun5.com/product/detail.html?product_no=1735
브라,F4글램,852,P0000BGU,쉬어 브라 글램 커버업,29800,3414,3,수량구성(1+) × 컬러(1+) × 기타(5+),14,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202601/d5da70ea8c7253bb4f86ea6176f4f742.jpg,https://marun5.com/product/detail.html?product_no=852
팬티,F4심팬,1888,P0000CUQ,쉬어 팬티 심리스 커버업,7900,905,3,수량구성(1+) × 컬러(2+) × 사이즈(4+),17,F,https://cafe24img.poxo.com/m5m5m5/web/product/small/202604/a4126e3defcdac529ea1c21e9c7bb33b.jpg,https://marun5.com/product/detail.html?product_no=1888
