product_no,product_code,variant_code,discount,options_raw,axes,a1,a2,a3,a4,quantity,display,selling
1140,P0000BRW,P0000BRW00CI,[10%],[10%] 4매입-스킨 4매-S,3,4매입,스킨 4매,S,,-100,T,T
1140,P0000BRW,P0000BRW00CJ,[10%],[10%] 4매입-스킨 4매-M,3,4매입,스킨 4매,M,,-100,T,T
1140,P0000BRW,P0000BRW00CK,[10%],[10%] 4매입-스킨 4매-L,3,4매입,스킨 4매,L,,-7,T,T
1140,P0000BRW,P0000BRW00CL,[10%],[10%] 4매입-스킨 4매-XL,3,4매입,스킨 4매,XL,,-1,T,T
1140,P0000BRW,P0000BRW00CM,[10%],[10%] 4매입-스킨 4매-XXL,3,4매입,스킨 4매,XXL,,0,T,T
1142,P0000BRY,P0000BRY000A,[10%],[10%] 4매입-스킨 4매-M,3,4매입,스킨 4매,M,,-2,T,T
1142,P0000BRY,P0000BRY000B,[10%],[10%] 4매입-스킨 4매-L,3,4매입,스킨 4매,L,,-1,T,T
1142,P0000BRY,P0000BRY000D,[10%],[10%] 4매입-스킨 4매-XL,3,4매입,스킨 4매,XL,,0,T,T
1142,P0000BRY,P0000BRY000F,[10%],[10%] 4매입-더스티블루 4매-M,3,4매입,더스티블루 4매,M,,-100,T,T
1142,P0000BRY,P0000BRY000G,[10%],[10%] 4매입-더스티블루 4매-L,3,4매입,더스티블루 4매,L,,0,T,T
1926,P0000CWC,P0000CWC00FO,[10%],[10%] 4매입-화이트 4매-M,3,4매입,화이트 4매,M,,-100,T,T
1926,P0000CWC,P0000CWC00FP,[10%],[10%] 4매입-화이트 4매-L,3,4매입,화이트 4매,L,,-100,T,T
1926,P0000CWC,P0000CWC00FQ,[10%],[10%] 4매입-화이트 4매-XL,3,4매입,화이트 4매,XL,,-100,T,T
1926,P0000CWC,P0000CWC00FR,[10%],[10%] 4매입-스킨 4매-M,3,4매입,스킨 4매,M,,-100,T,T
1926,P0000CWC,P0000CWC00FS,[10%],[10%] 4매입-스킨 4매-L,3,4매입,스킨 4매,L,,-100,T,T
1927,P0000CWD,P0000CWD00HS,[10%],[10%] 4매입-화이트 4매-F/L,3,4매입,화이트 4매,F/L,,-100,T,T
1927,P0000CWD,P0000CWD00HT,[10%],[10%] 4매입-스킨 4매-F/L,3,4매입,스킨 4매,F/L,,0,T,T
